seed,query_id,variant,runtime_ms
46,q5_insulating_frameworks,LEA iter100,142.58054100000095
46,q5_insulating_frameworks,LEA pool50,129.5203330000021
46,q5_insulating_frameworks,LEA pool200,133.10766699999732
47,q1_co2_adsorption,SemanticOnly,0.05116700000229457
47,q1_co2_adsorption,WeightedSum,0.09074999999825195
47,q1_co2_adsorption,MMR,1.81204200000451
47,q1_co2_adsorption,RandomRepeated,0.06258399999836683
47,q1_co2_adsorption,LEA baseline,144.73883299999812
47,q1_co2_adsorption,LEA no diversity,116.53283300000083
47,q1_co2_adsorption,LEA no balance,85.0468750000033
47,q1_co2_adsorption,LEA no self-cleaning,85.84450000000032
47,q1_co2_adsorption,LEA pop20,57.260292000002266
47,q1_co2_adsorption,LEA pop50,141.53645799999737
47,q1_co2_adsorption,LEA pop100,292.89683300000036
47,q1_co2_adsorption,LEA iter20,28.78858400000439
47,q1_co2_adsorption,LEA iter40,57.49579200000454
47,q1_co2_adsorption,LEA iter100,149.61741700000175
47,q1_co2_adsorption,LEA pool50,123.41620800000186
47,q1_co2_adsorption,LEA pool200,122.106708000004
47,q2_photocatalysis,SemanticOnly,0.48470800000188774
47,q2_photocatalysis,WeightedSum,0.20191600000174503
47,q2_photocatalysis,MMR,1.9102079999981925
47,q2_photocatalysis,RandomRepeated,0.06720800000437066
47,q2_photocatalysis,LEA baseline,129.11179200000333
47,q2_photocatalysis,LEA no diversity,127.57283399999864
47,q2_photocatalysis,LEA no balance,85.73683300000567
47,q2_photocatalysis,LEA no self-cleaning,85.47179199999988
47,q2_photocatalysis,LEA pop20,57.09445800000168
47,q2_photocatalysis,LEA pop50,143.0755000000019
47,q2_photocatalysis,LEA pop100,290.5826659999988
47,q2_photocatalysis,LEA iter20,28.466458000004025
47,q2_photocatalysis,LEA iter40,58.065249999998514
47,q2_photocatalysis,LEA iter100,152.7495839999986
47,q2_photocatalysis,LEA pool50,120.93162500000432
47,q2_photocatalysis,LEA pool200,141.70512500000143
47,q3_lightweight_storage,SemanticOnly,0.14558299999833935
47,q3_lightweight_storage,WeightedSum,0.16841599999395385
47,q3_lightweight_storage,MMR,1.8030409999951758
47,q3_lightweight_storage,RandomRepeated,0.06441600000073322
47,q3_lightweight_storage,LEA baseline,111.08516600000229
47,q3_lightweight_storage,LEA no diversity,138.22274999999706
47,q3_lightweight_storage,LEA no balance,89.34487500000188
47,q3_lightweight_storage,LEA no self-cleaning,84.83095799999774
47,q3_lightweight_storage,LEA pop20,56.38083400000227
47,q3_lightweight_storage,LEA pop50,139.38841600000274
47,q3_lightweight_storage,LEA pop100,291.51829199999924
47,q3_lightweight_storage,LEA iter20,29.717917000006366
47,q3_lightweight_storage,LEA iter40,57.725458000000174
47,q3_lightweight_storage,LEA iter100,141.82833299999942
47,q3_lightweight_storage,LEA pool50,120.36083299999945
47,q3_lightweight_storage,LEA pool200,118.27587500000192
47,q4_balanced_discovery,SemanticOnly,0.06779200000295305
47,q4_balanced_discovery,WeightedSum,0.08633399999524727
47,q4_balanced_discovery,MMR,1.8742499999930828
47,q4_balanced_discovery,RandomRepeated,0.06437500000089358
47,q4_balanced_discovery,LEA baseline,155.7154159999996
47,q4_balanced_discovery,LEA no diversity,112.7461670000045
47,q4_balanced_discovery,LEA no balance,84.78991700000194
47,q4_balanced_discovery,LEA no self-cleaning,84.91254199999787
47,q4_balanced_discovery,LEA pop20,56.63958299999905
47,q4_balanced_discovery,LEA pop50,139.9207500000017
47,q4_balanced_discovery,LEA pop100,282.9462919999983
