query,seed,method,rank,qmof_id,formula,raw_density,raw_band_gap,raw_semantic_score,raw_stability_score,raw_graph_score,normalized_density_score,normalized_band_gap_score,normalized_semantic_score,normalized_stability_score,normalized_graph_score,availability_mask,active_objective_vector,pairwise_masked_distance,final_utility
stable porous MOFs for CO2 adsorption,43,GraphSAGE only,1,qmof-ec84fcf,Co2C20H16N28,1.767424228,2.596155,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,43,GraphSAGE only,2,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,43,GraphSAGE only,3,qmof-275dcce,Co2Nd2C32H32N20O12,1.787505544,2.684298,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,43,GraphSAGE only,4,qmof-0ea1d91,Co2C16H12N8O4,1.78772833,3.489909,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,43,GraphSAGE only,5,qmof-f69d443,Co2C40H28N12O8,1.370451155,2.877886,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,43,LEA,1,qmof-d976696,Co2C40H30N10O12S4,1.731777887,2.509891,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA,2,qmof-71748b1,Co2C34H26N10O10S6,1.740750274,3.369053,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA,3,qmof-b2bccba,Co2C42H32N4O12,1.669649743,2.789533,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA,4,qmof-eb2e363,Co2C44H38N10O8,1.557914602,3.122668,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA,5,qmof-1f0ad0a,Co2C44H40N4O16,1.656576851,3.426973,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA no diversity,1,qmof-d976696,Co2C40H30N10O12S4,1.731777887,2.509891,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.847107757627964
stable porous MOFs for CO2 adsorption,43,LEA no diversity,2,qmof-71748b1,Co2C34H26N10O10S6,1.740750274,3.369053,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.847107757627964
stable porous MOFs for CO2 adsorption,43,LEA no diversity,3,qmof-b2bccba,Co2C42H32N4O12,1.669649743,2.789533,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.847107757627964
stable porous MOFs for CO2 adsorption,43,LEA no diversity,4,qmof-eb2e363,Co2C44H38N10O8,1.557914602,3.122668,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.847107757627964
stable porous MOFs for CO2 adsorption,43,LEA no diversity,5,qmof-1f0ad0a,Co2C44H40N4O16,1.656576851,3.426973,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.847107757627964
stable porous MOFs for CO2 adsorption,43,LEA no self-cleaning,1,qmof-d976696,Co2C40H30N10O12S4,1.731777887,2.509891,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA no self-cleaning,2,qmof-71748b1,Co2C34H26N10O10S6,1.740750274,3.369053,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA no self-cleaning,3,qmof-b2bccba,Co2C42H32N4O12,1.669649743,2.789533,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA no self-cleaning,4,qmof-eb2e363,Co2C44H38N10O8,1.557914602,3.122668,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA no self-cleaning,5,qmof-1f0ad0a,Co2C44H40N4O16,1.656576851,3.426973,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,43,LEA + GAT,1,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8078589275479316
stable porous MOFs for CO2 adsorption,43,LEA + GAT,2,qmof-ec84fcf,Co2C20H16N28,1.767424228,2.596155,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8048956781625748
stable porous MOFs for CO2 adsorption,43,LEA + GAT,3,qmof-403e9cb,Co2C24H32N4O18,1.697328907,3.469655,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8026215642690658
stable porous MOFs for CO2 adsorption,43,LEA + GAT,4,qmof-f2d872e,Co2C36H40N8O12,1.334171796,3.378082,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8005177416838705
stable porous MOFs for CO2 adsorption,43,LEA + GAT,5,qmof-c0d0be0,Co2C28H20N4O12,1.717539182,3.369652,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8000965524464845
stable porous MOFs for CO2 adsorption,43,LEA + GraphSAGE,1,qmof-ec84fcf,Co2C20H16N28,1.767424228,2.596155,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7676090344786644
