record_type,seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,missing_band_gap_top5,unique_top_k_candidates,candidate_coverage,top_k_stability,retrieval_time_ms,reranking_time_ms,total_runtime_ms
candidate_pool_sensitivity,47,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,93.3813329999964,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,93.3813329999964,93.3813329999964
candidate_pool_sensitivity,47,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,108.17804099999506,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,108.17804099999506,108.17804099999506
candidate_pool_sensitivity,48,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,84.17024999999967,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,84.17024999999967,84.17024999999967
candidate_pool_sensitivity,48,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,91.14025000000225,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,91.14025000000225,91.14025000000225
candidate_pool_sensitivity,48,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,105.81966699999867,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,105.81966699999867,105.81966699999867
candidate_pool_sensitivity,49,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,84.00662499999356,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,84.00662499999356,84.00662499999356
candidate_pool_sensitivity,49,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,94.26362499999641,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,94.26362499999641,94.26362499999641
candidate_pool_sensitivity,49,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,108.60962499999971,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,108.60962499999971,108.60962499999971
candidate_pool_sensitivity,50,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,85.23437499999886,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,85.23437499999886,85.23437499999886
candidate_pool_sensitivity,50,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,91.99524999999653,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,91.99524999999653,91.99524999999653
candidate_pool_sensitivity,50,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,130.51937500000577,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,130.51937500000577,130.51937500000577
candidate_pool_sensitivity,51,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,50,84.09558299999986,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,84.09558299999986,84.09558299999986
candidate_pool_sensitivity,51,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,100,90.64829100000082,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.00490869821323385,,0.0,90.64829100000082,90.64829100000082
candidate_pool_sensitivity,51,q2_photocatalysis,photocatalytic MOFs with suitable band gaps,LEA,200,106.03270800000075,0.8751665499999998,0.8751665499999999,0.8455586731433868,0.0,0.0,1.0,0.643333,1.0,1.0,0.0,1.0,1.0,0,5,0.0098173964264677,,0.0,106.03270800000075,106.03270800000075
candidate_pool_sensitivity,42,q3_lightweight_storage,lightweight gas storage MOFs with low density,LEA,50,86.0855419999993,0.9173958948894889,0.9173958948894889,0.8824677988886833,0.0,0.0,1.0,0.728571,1.0,1.0,0.0,1.0,1.0,0,5,0.002454349106616925,,0.0,86.0855419999993,86.0855419999993
